,close,rsi (14),macd,macd signal,bol_upper (20),bol_lower (20),sma50,sma100,sma200,Y
Fri Aug 18 20:00:00 2017,4139.98,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,0
Fri Aug 25 20:00:00 2017,4337.44,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,0
Fri Dec  8 19:00:00 2017,14656.07,73.99563325436753,1968.3237091499595,1448.815851844205,15823.47740842063,5616.48359157937,8275.345,6364.827799999999,,1
Fri Dec 15 19:00:00 2017,19102.66,81.81823896522812,2422.1456536631686,2083.002676262666,19641.813804198726,7630.67219580127,9798.548199999997,7217.373899999999,,0
Fri Dec 22 19:00:00 2017,13300.0,45.24026539021802,1217.1717565504641,1894.133748543305,19997.258221782708,11445.992778217293,11163.699799999997,8071.792099999999,,1
Fri Dec 29 19:00:00 2017,12440.01,41.77411326287764,266.84883470187015,845.2695791103612,19613.037311781645,11878.740688218362,12158.362399999998,8799.585899999998,,1
Fri Feb  2 19:00:00 2018,9199.96,35.131176097371544,-1068.7963483321364,-904.763455727442,13160.982577863946,8820.134422136052,13453.740600000001,11492.806100000003,,0
Fri Jan  5 19:00:00 2018,17069.79,61.692659457746615,519.5258634700294,405.29450246900603,18251.453608021016,11737.52039197899,13315.960199999998,9585.328,,0
Fri Jan 12 19:00:00 2018,14210.0,48.33849218745338,10.946526323145008,238.0301940971095,16990.826124198764,12327.02487580125,14217.021999999999,10299.585500000001,,0
Fri Jan 19 19:00:00 2018,12799.94,46.554961474953636,-740.2298652636146,-428.95568636859423,17467.1891939952,10308.149806004802,14546.1408,10808.457100000001,,0
Fri Nov  3 20:00:00 2017,7357.09,79.38295054612962,537.5096918287818,433.09386591122404,7179.9637240544425,5016.910275945559,5053.0262,5270.6666,,0
Fri Oct 13 20:00:00 2017,5869.99,81.56130291816459,367.9093671968667,209.66299915282994,5606.6050338701225,3500.065966129878,4306.924,5270.6666,,0
Fri Oct 20 20:00:00 2017,6024.97,74.62654259278436,451.9187336249952,384.18441135771707,6402.798506146678,3823.2394938533225,4478.111799999999,5270.6666,,0
Fri Oct 27 20:00:00 2017,5719.64,59.53482155818743,321.2430973673345,369.53463541152604,6348.956294383172,4853.100705616833,4664.936399999999,5270.6666,,1
Fri Sep  1 20:00:00 2017,4472.14,53.884720079742976,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Fri Sep 15 20:00:00 2017,3714.95,41.26688130528487,-117.39809175970504,-51.421238690720706,5059.476266297432,3484.6357337025725,4159.184200000001,5270.6666,,0
Fri Sep 22 20:00:00 2017,3780.0,44.990038720070395,-144.1100308595478,-102.5606904256969,4708.618194410391,3281.5508055896125,4159.184200000001,5270.6666,,0
Fri Sep 29 20:00:00 2017,4378.51,58.39289697478123,5.95124762260366,-65.2052766471016,4442.845626120699,3340.7113738793046,4159.184200000001,5270.6666,,0
Mon Aug 28 20:00:00 2017,4587.48,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,0
Mon Dec 25 19:00:00 2017,15689.01,56.86871149840527,761.2600923926057,1367.3881884637522,19504.39266016333,12544.789339836678,11588.222399999997,8389.526199999998,,0
Mon Feb  5 19:00:00 2018,7652.14,32.477859226762384,-1384.397678841815,-1102.0685348048876,13340.156463136214,7375.782536863784,12772.900800000001,11543.991000000004,,0
Mon Feb 12 19:00:00 2018,8539.9,41.865497511877805,-1028.9045738154746,-1168.791924844002,12176.76155960907,6382.336440390931,11872.999400000004,11643.322,,1
Mon Jan  8 19:00:00 2018,14400.0,48.36627028259336,370.0103476776585,428.817997132419,17072.840353707856,12197.347646292148,13744.7728,9910.536900000001,,1
Mon Jan 15 19:00:00 2018,10900.0,35.74895042278758,-402.83545198169486,8.243227556880981,17103.131757440555,11521.377242559456,14425.7598,10544.414700000001,,1
Mon Jan 29 19:00:00 2018,10237.51,38.05438244167206,-805.8581704975786,-781.9641418681867,14160.209289640925,9529.024710359075,14027.2502,11346.427200000002,,1
Mon Nov 20 19:00:00 2017,8119.51,67.29569177911245,525.7035973653938,432.64029853339935,8455.263734499847,5923.087265500153,6151.0912,5270.6666,,1
Mon Nov 27 19:00:00 2017,9896.8,79.00886205677877,776.6981345241784,603.8574413035313,9922.044421633685,5613.752578366311,6765.266599999999,5478.217699999999,,0
Mon Oct  9 20:00:00 2017,4783.06,66.71318518250699,164.27148999629208,91.60514437908598,4894.814406438465,3499.304593561537,4206.51,5270.6666,,1
Mon Oct 23 20:00:00 2017,5477.03,56.605414084507885,396.24469192984816,404.57127544167327,6502.0819616566805,4168.395038343322,4563.344799999999,5270.6666,,1
Mon Sep 25 20:00:00 2017,3882.35,47.98709177258222,-115.7306469375576,-115.3107454519924,4547.203549049097,3280.642450950906,4159.184200000001,5270.6666,,1
Sat Aug 26 20:00:00 2017,4310.01,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Sat Dec 30 19:00:00 2017,13716.36,47.93092078713733,181.18707203438862,712.4530776951667,19546.20912446441,11658.407875535595,12307.788599999996,8900.790799999999,,0
Sat Feb 10 19:00:00 2018,8063.88,37.56688856406212,-1206.4281214713847,-1230.2889320239806,12573.25713543141,6456.467864568588,12068.128200000003,11615.914,,1
Sat Jan 13 19:00:00 2018,13474.99,45.15461413661922,-79.01628739602529,174.62089779848253,17000.033865857833,12295.382134142174,14312.5216,10390.645400000001,,1
Sat Jan 27 19:00:00 2018,11879.95,46.09002121874378,-769.7338944659787,-782.6268308391939,14945.781329217096,9525.310670782901,14227.239,11251.292000000001,,0
Sat Nov 11 19:00:00 2017,5811.03,42.384371102760134,278.7469350046331,434.3332617568789,7734.097246320851,5249.107753679151,5534.4136,5270.6666,,1
Sat Oct 14 20:00:00 2017,5709.99,75.62823515159785,400.1824337484677,247.7668860719575,5767.47521237585,3518.1197876241513,4334.375,5270.6666,,1
Sat Oct 28 20:00:00 2017,6169.98,67.12143187576434,335.75856306401056,362.77942094202297,6357.540652670686,4982.819347329319,4703.159799999999,5270.6666,,0
Sat Sep  2 20:00:00 2017,4509.08,55.05584599074014,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,0
Sat Sep  9 20:00:00 2017,4130.37,43.980851188766216,-117.39809175970504,-51.421238690720706,4830.966407924239,3960.8755920757635,4159.184200000001,5270.6666,,1
Sat Sep 16 20:00:00 2017,3699.99,41.024313634242155,-117.39809175970504,-51.421238690720706,5061.2128443773,3414.229155622705,4159.184200000001,5270.6666,,1
Sat Sep 23 20:00:00 2017,3660.02,42.701643487855534,-148.3392307174213,-111.71639848404178,4699.3314121707035,3246.8285878293004,4159.184200000001,5270.6666,,1
Sat Sep 30 20:00:00 2017,4378.48,58.39203529343337,32.76238698190036,-45.611743921301205,4475.346745814308,3325.211254185695,4159.184200000001,5270.6666,,1
Sun Aug 20 20:00:00 2017,4016.0,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Sun Dec 10 19:00:00 2017,16587.97,79.10380570321318,2136.5292418633617,1674.5343765523921,17091.99528935048,5863.609710649519,8665.6042,6586.636799999998,,0
Sun Dec 31 19:00:00 2017,13380.0,46.534445504058546,85.17620872471343,586.9977039010761,19496.341525335556,11411.276474664452,12459.167999999996,8996.790799999999,,1
Sun Feb  4 19:00:00 2018,6939.99,26.99566029975355,-1329.0095512201133,-1031.4862487956557,13244.61651479775,7804.987485202249,12996.983,11529.169400000004,,1
Sun Feb 11 19:00:00 2018,8903.0,43.81926746399486,-1097.6630849097473,-1203.763762601134,12430.50257210396,6409.60442789604,11976.188200000002,11631.3731,,0
Sun Jan 14 19:00:00 2018,13539.93,45.49619526234964,-143.41910398630534,111.01289744152496,16888.833140488114,12191.674859511895,14400.7598,10481.8147,,0
Sun Jan 21 19:00:00 2018,10760.05,38.652290329689215,-868.5925445666326,-573.4927452542768,17520.279382174183,9678.553617825819,14550.833399999998,10916.157900000002,,1
Sun Nov  5 19:00:00 2017,6960.12,67.54524326384801,550.3752045855153,477.74354778515607,7457.702359177944,5034.182640822056,5190.83,5270.6666,,1
Sun Nov 19 19:00:00 2017,8212.0,69.04803870682397,505.3739667854252,409.37447382540074,8324.687712356095,5917.110287643905,6076.3009999999995,5270.6666,,0
Sun Oct  1 20:00:00 2017,4380.0,58.42551029562981,53.51615842315141,-25.78616345241068,4513.074193530115,3309.1118064698885,4159.184200000001,5270.6666,,0
Sun Oct  8 20:00:00 2017,4786.95,66.87214553327276,142.81789783099248,73.43855797478446,4807.149201091096,3498.663798908906,4191.1688,5270.6666,,0
Sun Oct 15 20:00:00 2017,5760.02,76.21096489370983,424.89811342566463,283.1931315426989,5904.424402154757,3568.9375978452435,4363.3751999999995,5270.6666,,0
Sun Oct 29 20:00:00 2017,6120.5,65.66472458009385,339.3576480051206,358.0950663546425,6318.204691556943,5155.89930844306,4742.962399999999,5270.6666,,1
Sun Sep  3 20:00:00 2017,4100.11,42.26003453900124,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Sun Sep 10 20:00:00 2017,4208.47,46.17735104920699,-117.39809175970504,-51.421238690720706,4817.469552954856,3991.219447045146,4159.184200000001,5270.6666,,0
Sun Sep 17 20:00:00 2017,4035.01,48.346707764098774,-117.39809175970504,-51.421238690720706,5021.786273505546,3398.4087264944574,4159.184200000001,5270.6666,,0
Sun Sep 24 20:00:00 2017,3920.75,48.796721480872286,-129.16325646683845,-115.20577008060111,4654.39260563814,3247.195394361864,4159.184200000001,5270.6666,,0
Thu Aug 17 20:00:00 2017,4108.37,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Thu Aug 24 20:00:00 2017,4280.68,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Thu Aug 31 20:00:00 2017,4834.91,70.6794655907821,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,0
Thu Dec 28 19:00:00 2017,14378.9,50.1364572004238,502.25859236542965,989.8747652124839,19453.809640860905,12283.965359139098,12039.701799999997,8711.285699999999,,0
Thu Feb  1 19:00:00 2018,8873.03,32.51012686074657,-1031.9396465682657,-863.7552325762683,13467.319774782385,8941.300225217614,13620.538,11459.424200000003,,1
Thu Feb  8 19:00:00 2018,8683.92,40.61467611301718,-1317.8038873209134,-1234.7511330986797,12887.922347352973,6711.021652647023,12268.703200000004,11591.285600000003,,0
Thu Jan 25 19:00:00 2018,11089.0,40.9610619950883,-897.0251260356545,-770.1947730396721,15952.246334050094,9287.007665949903,14370.541399999998,11134.521600000002,,1
Thu Nov 16 19:00:00 2017,7699.19,64.55956190842697,385.5692997789947,352.7863477897797,7931.133326702804,5784.818673297197,5854.6957999999995,5270.6666,,1
Thu Sep 21 20:00:00 2017,3595.87,40.44162120031432,-148.83203350117765,-92.17335531723418,4771.403868138651,3291.673131861352,4159.184200000001,5270.6666,,1
Tue Aug 29 20:00:00 2017,4555.14,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,1
Tue Dec 12 19:00:00 2017,16033.29,74.34688305899209,2199.8024714318653,1863.6994879448582,18054.063638040174,6517.278361959823,9085.410599999997,6824.377699999999,,1
Tue Feb  6 19:00:00 2018,7599.0,32.28304736751887,-1416.255412119879,-1164.905910267886,13388.221011017467,6991.420988982532,12578.976800000002,11558.776000000003,,1
Tue Jan  9 19:00:00 2018,14907.09,50.73448145456223,322.61793925796155,407.57798555752754,17015.567095678078,12196.065904321931,13880.5244,10015.8078,,0
Tue Jan 16 19:00:00 2018,10988.79,36.24370090183745,-594.4081981093459,-112.28705757636442,17297.8577536969,11007.319246303108,14447.5996,10606.433100000002,,0
Tue Jan 23 19:00:00 2018,11349.99,42.08667715325834,-910.8420383192333,-696.8542302743972,17277.986730799734,9137.858269200267,14528.237,11022.949500000002,,0
Tue Jan 30 19:00:00 2018,10285.1,38.398936327745666,-837.0759351715205,-792.9865005288535,14014.778110650057,9379.087889349945,13905.9524,11390.118900000003,,0
Tue Nov  7 19:00:00 2017,7303.0,71.69145639709792,545.6690575650946,501.3699754630725,7651.18821373315,5157.80478626685,5319.2698,5270.6666,,0
Tue Nov 21 19:00:00 2017,8205.92,68.10997870660893,542.5335518384136,454.6189491944022,8586.360138374359,5910.584861625643,6229.009599999999,5270.6666,,0
Tue Nov 28 19:00:00 2017,9687.88,74.79284969904911,808.5976185924555,644.8054767613162,10181.920798123845,5614.665201876154,6863.362999999999,5534.936499999999,,1
Tue Oct  3 20:00:00 2017,4208.59,53.0103647520206,62.65464136113951,6.200954771142094,4517.20294975279,3443.4710502472117,4159.184200000001,5270.6666,,1
Tue Oct 17 20:00:00 2017,5512.06,67.38948963657086,415.84616507566716,332.61381601496663,6071.085524641894,3676.232475358107,4406.032999999999,5270.6666,,1
Tue Sep 26 20:00:00 2017,4193.0,54.55605240332147,-79.10645830991507,-108.06988802357694,4430.449344886956,3347.5356551130476,4159.184200000001,5270.6666,,0
Wed Aug 23 20:00:00 2017,4316.01,67.85827398305986,-117.39809175970504,-51.421238690720706,4779.438278992532,3877.6397210074692,4159.184200000001,5270.6666,,0
Wed Dec  6 19:00:00 2017,16599.0,93.45927597449236,1715.2893883314446,1167.622064500591,14300.46825247064,5665.879747529357,7898.501799999999,6152.2674,,0
Wed Dec 27 19:00:00 2017,14182.11,49.177628817773055,598.0072126216037,1111.7788084242475,19446.602230486264,12318.889769513744,11893.723599999996,8606.496699999998,,1
Wed Jan 10 19:00:00 2018,13238.78,43.642424875100836,148.72601882363597,355.80759221074925,17020.785390024517,12182.064609975498,13981.1816,10105.0956,,1
Wed Jan 17 19:00:00 2018,10961.97,36.15314193815221,-739.8664100542646,-237.80292807194445,17417.106678677384,10546.37732132262,14473.0814,10668.222200000002,,1
Wed Nov 15 19:00:00 2017,7864.5,67.2229018785093,343.52277747193875,344.59060979247596,7868.103561232196,5649.893438767807,5784.201999999999,5270.6666,,0
Wed Nov 22 19:00:00 2017,8019.99,64.39468892839501,534.7046722735322,470.6360938102282,8671.123714253743,5916.316285746256,6305.237599999999,5270.6666,,1
Wed Oct 25 20:00:00 2017,5861.77,63.637168075010834,362.7993645384586,391.0353354241136,6456.682385766153,4502.827614233851,4614.655199999998,5270.6666,,0
Wed Sep  6 20:00:00 2017,4691.61,58.18829511861675,-117.39809175970504,-51.421238690720706,4852.074275204601,3896.796724795402,4159.184200000001,5270.6666,,0
Wed Sep 13 20:00:00 2017,3189.02,28.406972104525458,-117.39809175970504,-51.421238690720706,5025.389172219979,3641.972827780026,4159.184200000001,5270.6666,,1
Wed Sep 27 20:00:00 2017,4174.5,54.11771350211415,-50.9865788060938,-96.65322618008031,4411.160918119759,3355.9940818802443,4159.184200000001,5270.6666,,1
